"","plant_species","salinity","n","annual_median","annual_q1","annual_q3","offset_20","offset_100","perc_diff"
"1","Cyperus malaccensis","mesohaline",63,8.75,4.95,11.06,156.93,73.56,71.31
"2","Cyperus malaccensis","oligohaline",1197,13.11,4.94,24.55,235.31,110.3,-26.93
"3","Juncus sp.","mesohaline",90,2.61,1.59,3.99,46.9,21.98,-48.8
"4","Juncus sp.","polyhaline",147,0.23,0.17,0.33,4.11,1.93,-77.53
"5","Phragmites australis","mesohaline",170,9.4,2.55,26.75,168.75,79.1,84.21
"6","Phragmites australis","oligohaline",591,8.19,2.18,38.14,147.05,68.93,-54.34
"7","Phragmites australis","polyhaline",100,1.5,0.81,6.89,26.91,12.62,47.25
"8","Scirpus mariqueter","mesohaline",159,2.23,1.44,2.84,40.06,18.78,-56.27
"9","Scirpus mariqueter","oligohaline",549,3.37,0.7,10.26,60.53,28.37,-81.21
"10","Spartina alterniflora","euhaline",180,0.45,0.39,0.75,8.12,3.81,32.89
"11","Spartina alterniflora","mesohaline",909,5.85,1.32,21.72,104.91,49.18,14.53
"12","Spartina alterniflora","oligohaline",439,10.61,3.79,47.33,190.38,89.24,-40.88
"13","Spartina alterniflora","polyhaline",377,2.17,0.81,5.27,38.96,18.26,113.13
"14","Spartina patens","mesohaline",101,0.83,0.3,14.57,14.92,7,-83.71
"15","Spartina patens","polyhaline",191,0.11,-0.02,0.2,1.91,0.89,-89.56
"16","Suaeda salsa","mesohaline",986,0.07,-0.2,0.38,1.34,0.63,-98.54
"17","Suaeda salsa","oligohaline",171,0.16,0.01,0.39,2.87,1.35,-99.11
"18","Salinity Model","oligohaline",NA,17.95,NA,NA,322.05,150.96,0
"19","Salinity Model","mesohaline",NA,5.11,NA,NA,91.6,42.94,0
"20","Salinity Model","polyhaline",NA,1.02,NA,NA,18.28,8.57,0
"21","Salinity Model","euhaline",NA,0.34,NA,NA,6.11,2.86,0
