"","plant_species","salinity","season","n","yi_median","yi_q1","yi_q3"
"1","Cyperus malaccensis","mesohaline","fall",45,4.58277497213025,4.38174397502382,4.91274134183679
"2","Cyperus malaccensis","mesohaline","winter",18,3.65511573357565,3.58851966991101,3.7473762968828
"3","Cyperus malaccensis","mesohaline","spring",NA,NA,NA,NA
"4","Cyperus malaccensis","mesohaline","summer",NA,NA,NA,NA
"5","Cyperus malaccensis","oligohaline","fall",339,5.3197378880371,4.52464220366516,5.82258721615554
"6","Cyperus malaccensis","oligohaline","winter",201,3.26643796099033,3.11281140553122,3.55348383180558
"7","Cyperus malaccensis","oligohaline","spring",372,4.59001056489859,3.44036338292407,5.44961125792452
"8","Cyperus malaccensis","oligohaline","summer",285,6.03459589812411,4.90979596712086,6.67483586481861
"9","Cyperus malaccensis","euhaline","fall",NA,NA,NA,NA
"10","Cyperus malaccensis","euhaline","winter",NA,NA,NA,NA
"11","Cyperus malaccensis","euhaline","spring",NA,NA,NA,NA
"12","Cyperus malaccensis","euhaline","summer",NA,NA,NA,NA
"13","Cyperus malaccensis","polyhaline","fall",NA,NA,NA,NA
"14","Cyperus malaccensis","polyhaline","winter",NA,NA,NA,NA
"15","Cyperus malaccensis","polyhaline","spring",NA,NA,NA,NA
"16","Cyperus malaccensis","polyhaline","summer",NA,NA,NA,NA
"17","Distichlis Spicata","mesohaline","fall",3,4.15128781418909,4.15128781418909,4.15128781418909
"18","Distichlis Spicata","mesohaline","winter",NA,NA,NA,NA
"19","Distichlis Spicata","mesohaline","spring",6,4.04267379568333,3.70866485569946,4.37668273566719
"20","Distichlis Spicata","mesohaline","summer",3,6.44933483538809,6.44933483538809,6.44933483538809
"21","Distichlis Spicata","oligohaline","fall",NA,NA,NA,NA
"22","Distichlis Spicata","oligohaline","winter",NA,NA,NA,NA
"23","Distichlis Spicata","oligohaline","spring",NA,NA,NA,NA
"24","Distichlis Spicata","oligohaline","summer",NA,NA,NA,NA
"25","Distichlis Spicata","euhaline","fall",3,3.37465591571559,3.37465591571559,3.37465591571559
"26","Distichlis Spicata","euhaline","winter",3,2.24557722925474,2.24557722925474,2.24557722925474
"27","Distichlis Spicata","euhaline","spring",NA,NA,NA,NA
"28","Distichlis Spicata","euhaline","summer",3,3.37465591571559,3.37465591571559,3.37465591571559
"29","Distichlis Spicata","polyhaline","fall",NA,NA,NA,NA
"30","Distichlis Spicata","polyhaline","winter",NA,NA,NA,NA
"31","Distichlis Spicata","polyhaline","spring",3,1.28550938858874,1.28550938858874,1.28550938858874
"32","Distichlis Spicata","polyhaline","summer",3,2.01140366906056,2.01140366906056,2.01140366906056
"33","Juncus sp.","mesohaline","fall",30,4.05225376157456,3.54489530642458,4.46505069923011
"34","Juncus sp.","mesohaline","winter",10,3.44658718483172,2.98800256364796,3.90517180601547
"35","Juncus sp.","mesohaline","spring",20,2.0870787602692,1.579536361989,2.61275939972801
"36","Juncus sp.","mesohaline","summer",30,3.95173251931733,3.45531430240326,4.34309078318302
"37","Juncus sp.","oligohaline","fall",NA,NA,NA,NA
"38","Juncus sp.","oligohaline","winter",NA,NA,NA,NA
"39","Juncus sp.","oligohaline","spring",NA,NA,NA,NA
"40","Juncus sp.","oligohaline","summer",NA,NA,NA,NA
"41","Juncus sp.","euhaline","fall",NA,NA,NA,NA
"42","Juncus sp.","euhaline","winter",NA,NA,NA,NA
"43","Juncus sp.","euhaline","spring",NA,NA,NA,NA
"44","Juncus sp.","euhaline","summer",15,2.84404751433281,2.53209235772117,3.15600267094444
"45","Juncus sp.","polyhaline","fall",14,0.924043057391858,0.79443931296496,0.978612066681876
"46","Juncus sp.","polyhaline","winter",4,0.697940270082073,0.697940270082073,0.697940270082073
"47","Juncus sp.","polyhaline","spring",12,0.848844260498905,0.698490347812293,0.999198173185518
"48","Juncus sp.","polyhaline","summer",117,2.03067748984951,1.57799085572451,2.5621848058865
"49","Phragmites australis","mesohaline","fall",57,5.86366197291249,4.44654623733214,6.645330347977
"50","Phragmites australis","mesohaline","winter",3,2.08741068061291,2.08741068061291,2.08741068061291
"51","Phragmites australis","mesohaline","spring",29,3.29646680508093,2.62363073595985,3.85017475066312
"52","Phragmites australis","mesohaline","summer",81,5.00058923655798,3.63848422265914,6.5493554672752
"53","Phragmites australis","oligohaline","fall",157,5.0488145480416,2.86027607112197,6.48942908529561
"54","Phragmites australis","oligohaline","winter",90,2.62363073595985,0.588722754054437,5.62315007318508
"55","Phragmites australis","oligohaline","spring",158,3.89101231176625,2.74071349277292,6.07937667295594
"56","Phragmites australis","oligohaline","summer",186,5.51378070373327,4.49888371171648,6.68450525095245
"57","Phragmites australis","euhaline","fall",NA,NA,NA,NA
"58","Phragmites australis","euhaline","winter",6,3.87703214767022,3.87703214767022,3.87703214767022
"59","Phragmites australis","euhaline","spring",NA,NA,NA,NA
"60","Phragmites australis","euhaline","summer",6,3.88281235485885,3.88281235485885,3.88281235485885
"61","Phragmites australis","polyhaline","fall",24,2.37481567015686,0,2.77547951402259
"62","Phragmites australis","polyhaline","winter",NA,NA,NA,NA
"63","Phragmites australis","polyhaline","spring",12,1.61399001743787,1.53768612618995,1.6902939086858
"64","Phragmites australis","polyhaline","summer",64,4.19983004195643,3.68950386898891,5.89633691176104
"65","Scirpus mariqueter","mesohaline","fall",96,4.12221673240515,3.86800784528562,4.29251836742866
"66","Scirpus mariqueter","mesohaline","winter",60,3.27921045938317,2.8027691607461,3.51941519533931
"67","Scirpus mariqueter","mesohaline","spring",3,1.5341753090785,1.5341753090785,1.5341753090785
"68","Scirpus mariqueter","mesohaline","summer",NA,NA,NA,NA
"69","Scirpus mariqueter","oligohaline","fall",21,2.65930634334035,1.07389655115688,4.66904262230516
"70","Scirpus mariqueter","oligohaline","winter",3,-1.85469493709102,-1.85469493709102,-1.85469493709102
"71","Scirpus mariqueter","oligohaline","spring",105,2.4436044402346,1.44585408264691,3.23861193618954
"72","Scirpus mariqueter","oligohaline","summer",420,5.15124542049787,3.67154139370903,6.12729426982358
"73","Scirpus mariqueter","euhaline","fall",NA,NA,NA,NA
"74","Scirpus mariqueter","euhaline","winter",NA,NA,NA,NA
"75","Scirpus mariqueter","euhaline","spring",NA,NA,NA,NA
"76","Scirpus mariqueter","euhaline","summer",NA,NA,NA,NA
"77","Scirpus mariqueter","polyhaline","fall",NA,NA,NA,NA
"78","Scirpus mariqueter","polyhaline","winter",6,2.44452754115576,2.3118887888493,2.57716629346222
"79","Scirpus mariqueter","polyhaline","spring",NA,NA,NA,NA
"80","Scirpus mariqueter","polyhaline","summer",NA,NA,NA,NA
"81","Spartina alterniflora","mesohaline","fall",231,4.89334466949434,3.66374413300511,5.55504385381236
"82","Spartina alterniflora","mesohaline","winter",89,2.17925003654284,1.85469493709102,4.26370889701379
"83","Spartina alterniflora","mesohaline","spring",254,2.95933791950453,0,4.3551468645683
"84","Spartina alterniflora","mesohaline","summer",335,5.14481954896166,3.39962867403759,6.72024812849419
"85","Spartina alterniflora","oligohaline","fall",105,5.12576971499898,4.24601644622301,6.39216303395568
"86","Spartina alterniflora","oligohaline","winter",75,3.53401316907089,1.54809694666808,6.48810861750337
"87","Spartina alterniflora","oligohaline","spring",141,4.29991554579564,3.38564024109281,6.09044138196382
"88","Spartina alterniflora","oligohaline","summer",118,5.79262296493349,4.72034873130291,6.90632158316599
"89","Spartina alterniflora","euhaline","fall",35,1.98224080775984,1.93110506039719,2.7764738049532
"90","Spartina alterniflora","euhaline","winter",6,0.246104630547626,0.097091980633589,0.395117280461662
"91","Spartina alterniflora","euhaline","spring",6,1.04385012337946,1.01132916609531,1.0763710806636
"92","Spartina alterniflora","euhaline","summer",133,2.75452726703541,2.57524678598781,3.1402099736828
"93","Spartina alterniflora","polyhaline","fall",94,3.11104801182267,1.41055885471651,4.27685896445821
"94","Spartina alterniflora","polyhaline","winter",30,1.00826819435674,0.443296629584892,4.27685896445821
"95","Spartina alterniflora","polyhaline","spring",10,4.27685896445821,3.35241610825522,4.45010960369278
"96","Spartina alterniflora","polyhaline","summer",243,3.29084180241063,2.55686110867668,4.25097034305732
"97","Spartina patens","mesohaline","fall",35,2.42553491805623,1.1643465783639,4.99549966338533
"98","Spartina patens","mesohaline","winter",5,2.30980660008448,2.30980660008448,2.30980660008448
"99","Spartina patens","mesohaline","spring",32,2.30239247729954,0.54481250913571,6.47240541943525
"100","Spartina patens","mesohaline","summer",29,2.7926550049769,1.18185567765011,3.21380148761515
"101","Spartina patens","oligohaline","fall",NA,NA,NA,NA
"102","Spartina patens","oligohaline","winter",NA,NA,NA,NA
"103","Spartina patens","oligohaline","spring",NA,NA,NA,NA
"104","Spartina patens","oligohaline","summer",NA,NA,NA,NA
"105","Spartina patens","euhaline","fall",4,2.76524687133129,2.76524687133129,2.76524687133129
"106","Spartina patens","euhaline","winter",NA,NA,NA,NA
"107","Spartina patens","euhaline","spring",NA,NA,NA,NA
"108","Spartina patens","euhaline","summer",11,2.05040805577467,1.55602766814261,2.54478844340673
"109","Spartina patens","polyhaline","fall",46,0.657100965730701,0.546188149010223,0.807004074552957
"110","Spartina patens","polyhaline","winter",NA,NA,NA,NA
"111","Spartina patens","polyhaline","spring",17,0.908694312716586,-0.0546088025767768,1.17228079490317
"112","Spartina patens","polyhaline","summer",128,1.33282283760792,-0.209416832145046,1.7863401998169
"113","Suaeda salsa","mesohaline","fall",489,0.291524099880116,-0.178987190722025,1.15736180811038
"114","Suaeda salsa","mesohaline","winter",158,0,-1.31339878816352,1.27755153542848
"115","Suaeda salsa","mesohaline","spring",167,0.258434011578389,-1.08685139363065,1.6447395780742
"116","Suaeda salsa","mesohaline","summer",172,1.23175063014898,-1.590097090257,2.36396369767788
"117","Suaeda salsa","oligohaline","fall",42,0.0677249428982145,-0.260498905578111,0.39594879137454
"118","Suaeda salsa","oligohaline","winter",27,0.588722754054437,0.588722754054437,0.588722754054437
"119","Suaeda salsa","oligohaline","spring",30,2.16804952546862,1.37838613976153,2.95771291117571
"120","Suaeda salsa","oligohaline","summer",72,-0.430940250087297,-1.39624253102884,0.348107864660913
"121","Suaeda salsa","euhaline","fall",NA,NA,NA,NA
"122","Suaeda salsa","euhaline","winter",NA,NA,NA,NA
"123","Suaeda salsa","euhaline","spring",NA,NA,NA,NA
"124","Suaeda salsa","euhaline","summer",NA,NA,NA,NA
"125","Suaeda salsa","polyhaline","fall",NA,NA,NA,NA
"126","Suaeda salsa","polyhaline","winter",63,-0.356305738714574,-0.811354767109594,-0.240487267814094
"127","Suaeda salsa","polyhaline","spring",NA,NA,NA,NA
"128","Suaeda salsa","polyhaline","summer",NA,NA,NA,NA
