,num,p_num,unique_id,author,publish_year,title,m_num,lat,long,climate_region,country,state_province,estuary,marsh,specific_site,time_frame,repeat.,sampling_year,sampling_year_full,specific_date_condition,specific_time,month,season,plant_species,plant_comment,section,tide,salinity,salinity_loc,ch4_n,ch4_flux,ch4_var,ch4_var_type,ch4_units,ch4_chamber,ch4_loc,soil_temp,soil_source,soil_temp_var,pw_salinity,pw_salinity_var,pw_conductivity,pw_conductivity_var,cond_convert,salinity_conductivity,enviro_source,ch4_method,ch4_method_simple,method,brand,brand2,model,group_key
1,1,1,4,Abdul-Aziz et al.,2018,"Environmental Controls, Emergent Scaling, and Predictions of Greenhouse Gas (GHG) Fluxes in Coastal Salt Marshes",1,41.554382,-70.506984,continental,USA,Massachusetts,Waquoit Bay,Sage Lot Pond,NA,extended growing season,NA,2013,2013,NA,NA,"June, July, August, September, October",summer,Spartina alterniflora,NA,low,microtidal,polyhaline,salinity in paper,9,3.276,2.34,SD,nmol/m2/s,light,supp tab,18.01,NA,4.93,29.83,3.58,NA,NA,NA,29.83,tab,in situ closed chamber with portable cavity ring-down spectrometer gas analyzer,in situ,in situ closed chamber with portable cavity ring-down spectrometer gas analyzer,Picarro,,Picarro,"1_Waquoit Bay_Sage Lot Pond_2013_June, July, August, September, October_Spartina alterniflora_polyhaline_light_NA_low"
2,2,1,3,Abdul-Aziz et al.,2018,"Environmental Controls, Emergent Scaling, and Predictions of Greenhouse Gas (GHG) Fluxes in Coastal Salt Marshes",2,41.576159,-70.500878,continental,USA,Massachusetts,Waquoit Bay,Hamblin Pond,NA,extended growing season,NA,2013,2013,NA,NA,"June, July, August, September, October",summer,Spartina alterniflora,NA,low,microtidal,polyhaline,salinity in paper,4,8.064,1.62,SD,nmol/m2/s,light,supp tab,21.01,NA,6,25.88,5.87,NA,NA,NA,25.88,tab,in situ closed chamber with portable cavity ring-down spectrometer gas analyzer,in situ,in situ closed chamber with portable cavity ring-down spectrometer gas analyzer,Picarro,,Picarro,"1_Waquoit Bay_Hamblin Pond_2013_June, July, August, September, October_Spartina alterniflora_polyhaline_light_NA_low"
3,3,1,2,Abdul-Aziz et al.,2018,"Environmental Controls, Emergent Scaling, and Predictions of Greenhouse Gas (GHG) Fluxes in Coastal Salt Marshes",3,41.559133,-70.543758,continental,USA,Massachusetts,Waquoit Bay,Great Pond,NA,extended growing season,NA,2013,2013,NA,NA,"June, July, August, September, October",summer,Spartina alterniflora,NA,low,microtidal,polyhaline,salinity in paper,3,5.796,2.124,SD,nmol/m2/s,light,supp tab,22.95,NA,1.08,29.5,3.74,NA,NA,NA,29.5,tab,in situ closed chamber with portable cavity ring-down spectrometer gas analyzer,in situ,in situ closed chamber with portable cavity ring-down spectrometer gas analyzer,Picarro,,Picarro,"1_Waquoit Bay_Great Pond_2013_June, July, August, September, October_Spartina alterniflora_polyhaline_light_NA_low"
4,4,1,1,Abdul-Aziz et al.,2018,"Environmental Controls, Emergent Scaling, and Predictions of Greenhouse Gas (GHG) Fluxes in Coastal Salt Marshes",4,41.556814,-70.580057,continental,USA,Massachusetts,Waquoit Bay,Eel Pond,NA,extended growing season,NA,2013,2013,NA,NA,"June, July, August, September, October",summer,Spartina alterniflora,NA,low,microtidal,euhaline,salinity in paper,4,4.248,1.584,SD,nmol/m2/s,light,supp tab,21.33,NA,1.56,32.4,1.52,NA,NA,NA,32.4,tab,in situ closed chamber with portable cavity ring-down spectrometer gas analyzer,in situ,in situ closed chamber with portable cavity ring-down spectrometer gas analyzer,Picarro,,Picarro,"1_Waquoit Bay_Eel Pond_2013_June, July, August, September, October_Spartina alterniflora_euhaline_light_NA_low"
5,5,2,622,Burden et al.,2013,Carbon sequestration and biogeochemical cycling in a saltmarsh Subject to coastal managed realignment,1,51.66667,0.85,oceanic,England,East of England,Blackwater Estuary,Tollesbury Marshes Natural Low,NA,month,NA,2010,2010,NA,NA,July,summer,Salicornia sp.,Salicornia europaea agg.,low,macrotidal,oligohaline,conductivity,18,1.24665,1.24665,SD,mg/m2/h,dark,tab,14.7,Ford et al.,NA,NA,NA,6.7,0.6,4.66402826,4.66402826,"tab, figure",closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Perkin Elmer Claus,,Perkin Elmer Claus,2_Blackwater Estuary_Tollesbury Marshes Natural Low_2010_July_Salicornia sp._oligohaline_dark_NA_low
6,6,3,699,Cadier et al.,2023,Tidal restoration to reduce greenhouse gas emissions from freshwater impounded coastal wetlands,1,-19.501667,147.488583,tropical,Australia,Queensland North,Burdekin Catchmen,Kalamia,NA,day,NA,2020,2020,NA,NA,December,summer,Sporobolus virginicus,Salicornia spp. and Sporobolus virginicus,NA,mesotidal,polyhaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tab,NA,,closed static chamber with discrete samples and gas chomatography,Shimadzu GC-2010 Plus,,Shimadzu GC-2010 Plus,3_Burdekin Catchmen_Kalamia_2020_December_Sporobolus virginicus_polyhaline__NA_NA
7,7,3,700,Cadier et al.,2023,Tidal restoration to reduce greenhouse gas emissions from freshwater impounded coastal wetlands,2,-19.501667,147.488583,tropical,Australia,Queensland North,Burdekin Catchmen,Kalamia,NA,day,NA,2020,2020,NA,NA,September,spring,Sporobolus virginicus,Salicornia spp. and Sporobolus virginicus,NA,mesotidal,polyhaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tab,NA,,closed static chamber with discrete samples and gas chomatography,Shimadzu GC-2010 Plus,,Shimadzu GC-2010 Plus,3_Burdekin Catchmen_Kalamia_2020_September_Sporobolus virginicus_polyhaline__NA_NA
8,8,3,701,Cadier et al.,2023,Tidal restoration to reduce greenhouse gas emissions from freshwater impounded coastal wetlands,3,-19.501667,147.488583,tropical,Australia,Queensland North,Burdekin Catchmen,Kalamia,NA,day,NA,2021,2021,NA,NA,September,spring,Sporobolus virginicus,Salicornia spp. and Sporobolus virginicus,NA,mesotidal,polyhaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tab,NA,,closed static chamber with discrete samples and gas chomatography,Shimadzu GC-2010 Plus,,Shimadzu GC-2010 Plus,3_Burdekin Catchmen_Kalamia_2021_September_Sporobolus virginicus_polyhaline__NA_NA
9,9,3,702,Cadier et al.,2023,Tidal restoration to reduce greenhouse gas emissions from freshwater impounded coastal wetlands,4,-19.534167,147.489917,tropical,Australia,Queensland North,Burdekin Catchmen,Merryplain,NA,day,NA,2021,2021,NA,NA,September,spring,Sporobolus virginicus,Salicornia spp. and Sporobolus virginicus,NA,mesotidal,polyhaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tab,NA,,closed static chamber with discrete samples and gas chomatography,Shimadzu GC-2010 Plus,,Shimadzu GC-2010 Plus,3_Burdekin Catchmen_Merryplain_2021_September_Sporobolus virginicus_polyhaline__NA_NA
10,10,3,703,Cadier et al.,2023,Tidal restoration to reduce greenhouse gas emissions from freshwater impounded coastal wetlands,5,-19.734778,147.519,tropical,Australia,Queensland North,Burdekin Catchmen,Plantation,NA,day,NA,2021,2021,NA,NA,September,spring,Sporobolus virginicus,Salicornia spp. and Sporobolus virginicus,NA,mesotidal,polyhaline,salinity in paper,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tab,NA,,closed static chamber with discrete samples and gas chomatography,Shimadzu GC-2010 Plus,,Shimadzu GC-2010 Plus,3_Burdekin Catchmen_Plantation_2021_September_Sporobolus virginicus_polyhaline__NA_NA
