"","unique_id","yi","vi","ch4_n","p_num","plant_species","salinity","marsh","season","tide","lat","ch4_method_simple","climate_region","month","sampling_year"
"1",1,1.90229055679119,9,9,"1","Spartina alterniflora","polyhaline","Sage Lot Pond","summer","microtidal","41.554382","in situ","continental","June, July, August, September, October",2013
"2",2,2.15316998963603,4,4,"1","Spartina alterniflora","euhaline","Eel Pond","summer","microtidal","41.556814","in situ","continental","June, July, August, September, October",2013
"3",3,2.45767537011528,3,3,"1","Spartina alterniflora","polyhaline","Great Pond","summer","microtidal","41.559133","in situ","continental","June, July, August, September, October",2013
"4",4,2.78437940130548,4,4,"1","Spartina alterniflora","polyhaline","Hamblin Pond","summer","microtidal","41.576159","in situ","continental","June, July, August, September, October",2013
"5",5,0,3,3,"10","Spartina alterniflora","oligohaline","Shanyutan brackish tidal marsh","spring","macrotidal","26.030086","discrete","subtropical/warm temperate","April",2015
"6",6,0.588722754054437,3,3,"10","Spartina alterniflora","oligohaline","Shanyutan brackish tidal marsh","spring","macrotidal","26.030086","discrete","subtropical/warm temperate","April",2015
"7",7,3.05589206748961,3,3,"10","Spartina alterniflora","oligohaline","Shanyutan brackish tidal marsh","winter","macrotidal","26.030086","discrete","subtropical/warm temperate","January",2015
"8",8,1.0454985730609,3,3,"10","Spartina alterniflora","oligohaline","Shanyutan brackish tidal marsh","winter","macrotidal","26.030086","discrete","subtropical/warm temperate","January",2015
"9",9,1.0454985730609,3,3,"10","Spartina alterniflora","oligohaline","Shanyutan brackish tidal marsh","fall","macrotidal","26.030086","discrete","subtropical/warm temperate","September",2015
"10",10,5.12576971499898,3,3,"10","Spartina alterniflora","oligohaline","Shanyutan brackish tidal marsh","fall","macrotidal","26.030086","discrete","subtropical/warm temperate","September",2015
"11",11,6.23173067100217,3,3,"101","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","August",2015
"12",12,7.43496439513521,3,3,"101","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","June",2015
"13",13,7.52295634851127,3,3,"101","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","October",2015
"14",14,4.94789783320511,3,3,"102","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","spring","macrotidal","26.031552","discrete","subtropical/warm temperate","April",2019
"15",15,5.05910857462478,6,6,"102","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","August",2019
"16",16,4.7313364804137,6,6,"102","Cyperus malaccensis","mesohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","December",2019
"17",17,5.62820613858583,6,6,"102","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","July",2019
"18",18,6.69743351865718,3,3,"102","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","June",2019
"19",19,5.81145556945125,3,3,"102","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","spring","macrotidal","26.031552","discrete","subtropical/warm temperate","March",2019
"20",20,4.62697719854052,6,6,"102","Cyperus malaccensis","mesohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","November",2019
"21",21,4.5324567603096,6,6,"102","Cyperus malaccensis","mesohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","October",2019
"22",22,4.56731736936504,6,6,"102","Cyperus malaccensis","mesohaline","Shanyutan Brackish tidal marsh","fall","macrotidal","26.031552","discrete","subtropical/warm temperate","September",2019
"23",23,6.11761835587761,3,3,"102","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","August",2020
"24",24,3.65511573357565,3,3,"102","Cyperus malaccensis","mesohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","December",2020
"25",25,3.35716794916868,3,3,"102","Cyperus malaccensis","mesohaline","Shanyutan Brackish tidal marsh","winter","macrotidal","26.031552","discrete","subtropical/warm temperate","January",2020
"26",26,5.76564689659958,3,3,"102","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","July",2020
"27",27,4.44010645278557,3,3,"102","Cyperus malaccensis","oligohaline","Shanyutan Brackish tidal marsh","summer","macrotidal","26.031552","discrete","subtropical/warm temperate","June",2020
