,num,p_num,unique_id,author,publish_year,title,m_num,lat,long,climate_region,country,state_province,estuary,marsh,specific_site,time_frame,sampling_year,sampling_year_full,specific_date_condition,specific_time,month,season,plant_species,plant_comment,section,tide,salinity,salinity_loc,ch4_n,ch4_flux,ch4_var,ch4_var_type,ch4_units,ch4_chamber,ch4_loc,soil_temp,soil_source,soil_temp_var,pw_salinity,pw_salinity_var,pw_conductivity,pw_conductivity_var,cond_convert,salinity_conductivity,enviro_source,ch4_method,ch4_method_simple,method,brand,brand2,model,repeat_flag,group_key,yi,vi
1,1,1,4,Abdul-Aziz et al.,2018,"Environmental Controls, Emergent Scaling, and Predictions of Greenhouse Gas (GHG) Fluxes in Coastal Salt Marshes",1,41.554382,-70.506984,continental,USA,Massachusetts,Waquoit Bay,Sage Lot Pond,NA,extended growing season,2013,2013,NA,NA,"June, July, August, September, October",summer,Spartina alterniflora,NA,low,microtidal,polyhaline,salinity in paper,9,3.276,2.34,SD,nmol/m2/s,light,supp tab,18.01,NA,4.93,29.83,3.58,NA,NA,NA,29.83,tab,in situ closed chamber with portable cavity ring-down spectrometer gas analyzer,in situ,in situ closed chamber with portable cavity ring-down spectrometer gas analyzer,Picarro,,Picarro,FALSE,"1_Waquoit Bay_Sage Lot Pond_2013_June, July, August, September, October_Spartina alterniflora_polyhaline_light_NA_low",1.902290557,9
2,2,1,3,Abdul-Aziz et al.,2018,"Environmental Controls, Emergent Scaling, and Predictions of Greenhouse Gas (GHG) Fluxes in Coastal Salt Marshes",2,41.576159,-70.500878,continental,USA,Massachusetts,Waquoit Bay,Hamblin Pond,NA,extended growing season,2013,2013,NA,NA,"June, July, August, September, October",summer,Spartina alterniflora,NA,low,microtidal,polyhaline,salinity in paper,4,8.064,1.62,SD,nmol/m2/s,light,supp tab,21.01,NA,6,25.88,5.87,NA,NA,NA,25.88,tab,in situ closed chamber with portable cavity ring-down spectrometer gas analyzer,in situ,in situ closed chamber with portable cavity ring-down spectrometer gas analyzer,Picarro,,Picarro,FALSE,"1_Waquoit Bay_Hamblin Pond_2013_June, July, August, September, October_Spartina alterniflora_polyhaline_light_NA_low",2.784379401,4
3,3,1,2,Abdul-Aziz et al.,2018,"Environmental Controls, Emergent Scaling, and Predictions of Greenhouse Gas (GHG) Fluxes in Coastal Salt Marshes",3,41.559133,-70.543758,continental,USA,Massachusetts,Waquoit Bay,Great Pond,NA,extended growing season,2013,2013,NA,NA,"June, July, August, September, October",summer,Spartina alterniflora,NA,low,microtidal,polyhaline,salinity in paper,3,5.796,2.124,SD,nmol/m2/s,light,supp tab,22.95,NA,1.08,29.5,3.74,NA,NA,NA,29.5,tab,in situ closed chamber with portable cavity ring-down spectrometer gas analyzer,in situ,in situ closed chamber with portable cavity ring-down spectrometer gas analyzer,Picarro,,Picarro,FALSE,"1_Waquoit Bay_Great Pond_2013_June, July, August, September, October_Spartina alterniflora_polyhaline_light_NA_low",2.45767537,3
4,4,1,1,Abdul-Aziz et al.,2018,"Environmental Controls, Emergent Scaling, and Predictions of Greenhouse Gas (GHG) Fluxes in Coastal Salt Marshes",4,41.556814,-70.580057,continental,USA,Massachusetts,Waquoit Bay,Eel Pond,NA,extended growing season,2013,2013,NA,NA,"June, July, August, September, October",summer,Spartina alterniflora,NA,low,microtidal,euhaline,salinity in paper,4,4.248,1.584,SD,nmol/m2/s,light,supp tab,21.33,NA,1.56,32.4,1.52,NA,NA,NA,32.4,tab,in situ closed chamber with portable cavity ring-down spectrometer gas analyzer,in situ,in situ closed chamber with portable cavity ring-down spectrometer gas analyzer,Picarro,,Picarro,FALSE,"1_Waquoit Bay_Eel Pond_2013_June, July, August, September, October_Spartina alterniflora_euhaline_light_NA_low",2.15316999,4
5,5,2,622,Burden et al.,2013,Carbon sequestration and biogeochemical cycling in a saltmarsh Subject to coastal managed realignment,1,51.66667,0.85,oceanic,England,East of England,Blackwater Estuary,Tollesbury Marshes Natural Low,NA,month,2010,2010,NA,NA,July,summer,Salicornia sp.,Salicornia europaea agg.,low,macrotidal,oligohaline,conductivity,18,1.24665,1.24665,SD,mg/m2/h,dark,tab,14.7,Ford et al.,NA,NA,NA,6.7,0.6,4.66402826,4.66402826,"tab, figure",closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Perkin Elmer Claus,,Perkin Elmer Claus,FALSE,2_Blackwater Estuary_Tollesbury Marshes Natural Low_2010_July_Salicornia sp._oligohaline_dark_NA_low,1.045498573,18
6,133,10,8,Chen et al.,2021,"Effects of crabs on greenhouse gas emissions, soil nutrients, and stoichiometry in a subtropical estuarine wetland",1,26.030086,119.62901,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,upper tidal flat,winter,2015,2015,NA,NA,January,winter,Spartina alterniflora,NA,high,macrotidal,oligohaline,salinity in paper,3,1.24665,2.493299,IQR,mg/m2/h,dark,fig,15.39,NA,NA,0.96,NA,NA,NA,NA,0.96,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2010, Shimadzu",FALSE,10_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2015_January_Spartina alterniflora_oligohaline_dark_upper tidal flat_high,1.045498573,3
7,134,10,7,Chen et al.,2021,"Effects of crabs on greenhouse gas emissions, soil nutrients, and stoichiometry in a subtropical estuarine wetland",2,26.030086,119.62901,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,mid-tidal flat,winter,2015,2015,NA,NA,January,winter,Spartina alterniflora,NA,middle,macrotidal,oligohaline,salinity in paper,3,10.596522,12.466496,IQR,mg/m2/h,dark,fig,15.61,NA,NA,1.15,NA,NA,NA,NA,1.15,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2010, Shimadzu",FALSE,10_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2015_January_Spartina alterniflora_oligohaline_dark_mid-tidal flat_middle,3.055892067,3
8,135,10,6,Chen et al.,2021,"Effects of crabs on greenhouse gas emissions, soil nutrients, and stoichiometry in a subtropical estuarine wetland",3,26.030086,119.62901,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,upper tidal flat,spring,2015,2015,NA,NA,April,spring,Spartina alterniflora,NA,high,macrotidal,oligohaline,salinity in paper,3,0.623325,1.24665,IQR,mg/m2/h,dark,fig,20.34,NA,NA,0.78,NA,NA,NA,NA,0.78,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2010, Shimadzu",FALSE,10_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2015_April_Spartina alterniflora_oligohaline_dark_upper tidal flat_high,0.588722754,3
9,136,10,5,Chen et al.,2021,"Effects of crabs on greenhouse gas emissions, soil nutrients, and stoichiometry in a subtropical estuarine wetland",4,26.030086,119.62901,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,mid-tidal flat,spring,2015,2015,NA,NA,April,spring,Spartina alterniflora,NA,middle,macrotidal,oligohaline,salinity in paper,3,0,1.869974,IQR,mg/m2/h,dark,fig,20.56,NA,NA,0.81,NA,NA,NA,NA,0.81,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2010, Shimadzu",FALSE,10_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2015_April_Spartina alterniflora_oligohaline_dark_mid-tidal flat_middle,0,3
10,139,10,14,Chen et al.,2021,"Effects of crabs on greenhouse gas emissions, soil nutrients, and stoichiometry in a subtropical estuarine wetland",7,26.030086,119.62901,subtropical/warm temperate,China,Fujian,Minjiang/Min River Estuary,Shanyutan brackish tidal marsh,upper tidal flat,autumn ,2015,2015,NA,NA,September,fall,Spartina alterniflora,NA,high,macrotidal,oligohaline,salinity in paper,3,84.148848,98.485318,IQR,mg/m2/h,dark,fig,20.02,NA,NA,0.33,NA,NA,NA,NA,0.33,fig,closed static chamber with discrete samples and gas chomatography,discrete,closed static chamber with discrete samples and gas chomatography,Shimadzu,,"GC-2010, Shimadzu",FALSE,10_Minjiang/Min River Estuary_Shanyutan brackish tidal marsh_2015_September_Spartina alterniflora_oligohaline_dark_upper tidal flat_high,5.125769715,3
